,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams
3618,Sonny Parker,1977,1982,F-G,6-6,200.0,"March 22, 1955",Texas A&M University,/players/p/parkeso01.html,5,452.0,0.0,24.2,4.1,8.2,0.501,0.0,0.0,0.0,4.1,8.2,0.501,0.501,1.7,2.2,0.755,1.7,2.4,4.1,2.1,1.4,0.3,1.6,1.9,9.9,1
3619,Tony Parker,2002,2018,G,6-2,185.0,"May 17, 1982",0,/players/p/parketo01.html,16,1198.0,1151.0,31.1,6.3,12.8,0.492,0.4,1.3,0.326,5.9,11.5,0.511,0.509,2.8,3.7,0.752,0.4,2.4,2.8,5.7,0.9,0.1,2.3,1.7,15.8,1
3620,Barry Parkhill,1974,1976,G,6-4,185.0,"May 10, 1951",University of Virginia,/players/p/parkhba01.html,2,173.0,0.0,18.0,2.4,6.1,0.399,0.0,0.2,0.114,2.4,5.9,0.409,0.401,0.8,1.0,0.769,0.2,1.1,1.3,2.2,0.5,0.2,1.6,2.5,5.6,2
3621,Jack Parkinson,1950,1950,G,6-0,174.0,"March 4, 1924",University of Kentucky,/players/p/parkija01.html,0,4.0,0.0,0.0,0.3,3.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8,0.8,1
3622,Charles Parks,1969,1969,F,6-5,210.0,0,Idaho State University,/players/p/parksch01.html,0,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1
3623,Cherokee Parks,1996,2004,C-F,6-11,235.0,"October 11, 1972",Duke University,/players/p/parksch02.html,8,472.0,151.0,15.8,1.8,3.9,0.47,0.0,0.1,0.211,1.8,3.8,0.475,0.472,0.7,1.0,0.63,1.2,2.4,3.6,0.6,0.4,0.6,0.6,2.0,4.4,7
3624,Richard Parks,1968,1968,F,6-7,235.0,"October 28, 1943",Saint Louis University,/players/p/parksri01.html,0,40.0,0.0,9.4,1.5,3.3,0.444,0.0,0.1,0.333,1.5,3.3,0.446,0.447,0.3,0.5,0.571,0.0,0.0,2.9,0.4,0.0,0.0,0.5,1.7,3.3,1
3625,Jack Parr,1959,1959,C,6-9,220.0,"March 13, 1936",Kansas State University,/players/p/parrja01.html,0,66.0,0.0,15.7,1.7,4.7,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,0.603,0.0,0.0,4.2,0.8,0.0,0.0,0.0,2.1,4.0,1
3626,Doyle Parrack,1947,1947,F-G,6-0,165.0,"December 6, 1921",Oklahoma State University,/players/p/parrado01.html,0,58.0,0.0,0.0,1.9,7.1,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.4,0.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.3,4.7,1
3627,Charlie Parsley,1950,1950,G,6-2,175.0,"October 13, 1925",Western Kentucky University,/players/p/parslch01.html,0,9.0,0.0,0.0,0.9,3.4,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.857,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.8,2.4,1
3628,Chandler Parsons,2012,2018,F,6-10,230.0,"October 25, 1988",University of Florida,/players/p/parsoch01.html,6,410.0,366.0,31.0,5.0,10.8,0.466,1.6,4.2,0.377,3.4,6.5,0.524,0.54,1.5,2.1,0.708,0.9,3.8,4.6,2.8,0.9,0.4,1.5,2.0,13.1,3
3629,Zarko Paspalj,1990,1990,F,6-9,215.0,"March 27, 1966",0,/players/p/paspaza01.html,0,28.0,1.0,6.5,1.0,2.8,0.342,0.0,0.0,0.0,1.0,2.8,0.346,0.342,0.6,0.8,0.818,0.5,0.5,1.1,0.4,0.1,0.3,0.8,1.3,2.6,1
3630,Marty Passaglia,1947,1949,G,6-1,170.0,"April 22, 1919",Santa Clara University,/players/p/passama01.html,2,53.0,0.0,0.0,1.2,5.2,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.583,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.2,2.8,2
3631,George Pastushok,1947,1947,G,6-1,195.0,"July 13, 1922",St. John's University,/players/p/pastuge01.html,0,39.0,0.0,0.0,1.2,4.7,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,0.543,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.1,3.1,1
3632,Myles Patrick,1981,1981,F,6-8,220.0,"November 19, 1954",Auburn University,/players/p/patrimy01.html,0,3.0,0.0,3.0,0.7,1.7,0.4,0.0,0.0,0.0,0.7,1.7,0.4,0.4,0.3,0.7,0.5,0.3,0.3,0.7,0.3,0.0,0.0,0.3,1.0,1.7,1
3633,Stan Patrick,1950,1950,F-G,6-2,185.0,"May 5, 1922",University of Illinois at Urbana-Champaign,/players/p/patrist01.html,0,53.0,0.0,0.0,2.2,5.5,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.8,0.605,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,6.1,2
3634,Andrae Patterson,1999,2000,F,6-9,238.0,"November 12, 1975",Indiana University,/players/p/pattean01.html,1,40.0,0.0,7.6,1.2,2.5,0.455,0.0,0.1,0.0,1.2,2.4,0.479,0.455,0.7,0.9,0.778,0.8,0.9,1.7,0.4,0.5,0.2,0.6,1.7,3.0,1
3635,George Patterson,1968,1968,C-F,6-8,230.0,"November 26, 1939",University of Toledo,/players/p/pattege01.html,0,59.0,0.0,9.5,0.7,2.3,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.842,0.0,0.0,2.7,0.9,0.0,0.0,0.0,1.4,2.0,1
3636,Lamar Patterson,2016,2017,G-F,6-5,225.0,"August 12, 1991",University of Pittsburgh,/players/p/pattela01.html,1,40.0,0.0,10.9,0.8,2.4,0.326,0.3,1.4,0.236,0.5,1.0,0.45,0.395,0.5,0.6,0.72,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.3,1
3637,Patrick Patterson,2011,2018,F,6-9,230.0,"March 14, 1989",University of Kentucky,/players/p/pattepa01.html,7,559.0,76.0,22.7,2.9,6.4,0.455,0.9,2.3,0.37,2.0,4.1,0.502,0.521,0.6,0.8,0.757,1.3,3.0,4.3,1.1,0.6,0.5,0.7,1.7,7.3,4
3638,Ruben Patterson,1999,2008,F,6-5,224.0,"July 31, 1975",University of Cincinnati,/players/p/patteru01.html,9,649.0,245.0,24.6,4.1,8.0,0.517,0.1,0.3,0.179,4.1,7.7,0.53,0.52,2.4,3.8,0.641,2.0,2.2,4.2,1.8,1.2,0.4,1.8,2.2,10.7,6
3639,Steve Patterson,1972,1976,C,6-9,225.0,"June 24, 1948","University of California, Los Angeles",/players/p/pattest01.html,4,350.0,0.0,15.9,1.9,4.8,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.594,1.9,3.4,4.7,1.3,0.4,0.4,0.0,1.6,4.4,2
3640,Tom Patterson,1973,1974,F,6-6,220.0,"October 15, 1948",Ouachita Baptist University,/players/p/patteto01.html,1,25.0,0.0,4.0,0.8,2.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.778,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.7,2.2,2
3641,Worthy Patterson,1958,1958,G,6-2,175.0,"June 17, 1931",University of Connecticut,/players/p/pattewo01.html,0,4.0,0.0,3.3,0.8,2.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.8,1.8,1
3642,Justin Patton,2018,2018,C,6-11,229.0,"June 14, 1997",Creighton University,/players/p/pattoju01.html,0,1.0,0.0,4.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1
3643,Brandon Paul,2018,2018,G,6-4,200.0,"April 30, 1991",University of Illinois at Urbana-Champaign,/players/p/paulbr01.html,0,64.0,2.0,9.0,0.9,2.0,0.433,0.2,0.8,0.278,0.6,1.1,0.548,0.492,0.3,0.7,0.512,0.1,1.0,1.1,0.6,0.4,0.1,0.5,0.9,2.3,1
3644,Chris Paul,2006,2018,G,6-0,175.0,"May 6, 1985",Wake Forest University,/players/p/paulch01.html,12,892.0,892.0,35.3,6.6,13.9,0.472,1.3,3.4,0.372,5.3,10.5,0.505,0.518,4.3,4.9,0.868,0.7,3.8,4.5,9.8,2.3,0.1,2.4,2.5,18.7,4
3645,Charlie Paulk,1969,1972,F-C,6-8,219.0,"June 14, 1946",Northeastern State University,/players/p/paulkch01.html,3,120.0,0.0,13.7,2.6,6.7,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.5,0.611,0.0,0.0,3.9,0.3,0.0,0.0,0.0,2.0,6.2,4
3646,Jerry Paulson,1958,1958,G,6-2,185.0,"July 21, 1935",Manhattan College,/players/p/paulsje01.html,0,6.0,0.0,11.3,1.3,3.8,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.667,0.0,0.0,1.7,0.7,0.0,0.0,0.0,0.8,3.3,1
3647,Billy Paultz,1971,1985,C-F,6-11,235.0,"July 30, 1948","Cameron University, St. John's University",/players/p/paultbi01.html,14,1124.0,7.0,27.0,4.8,9.7,0.497,0.0,0.0,0.0,4.8,9.7,0.498,0.497,2.0,2.9,0.69,2.1,5.8,8.0,2.0,0.5,1.5,1.8,2.6,11.7,5
3648,Sasha Pavlovic,2004,2013,G-F,6-8,220.0,"November 15, 1983",0,/players/p/pavloal01.html,9,567.0,142.0,15.7,1.9,4.7,0.404,0.5,1.6,0.346,1.3,3.1,0.433,0.462,0.6,0.9,0.673,0.3,1.4,1.8,0.9,0.5,0.2,0.8,1.8,4.9,7
3649,Jim Paxson,1957,1958,F-G,6-6,200.0,"December 19, 1932",University of Dayton,/players/p/paxsoji01.html,1,138.0,0.0,22.2,2.6,8.1,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.8,0.727,0.0,0.0,4.5,1.6,0.0,0.0,0.0,2.5,8.0,2
3657,Jim Paxson,1980,1990,G-F,6-6,200.0,"July 9, 1957",University of Dayton,/players/p/paxsoji01.html,10,138.0,0.0,22.2,2.6,8.1,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.8,0.727,0.0,0.0,4.5,1.6,0.0,0.0,0.0,2.5,8.0,2
3665,John Paxson,1984,1994,G,6-2,185.0,"September 29, 1960",University of Notre Dame,/players/p/paxsojo01.html,10,772.0,369.0,22.4,3.1,6.2,0.499,0.4,1.0,0.355,2.8,5.2,0.527,0.528,0.6,0.8,0.804,0.2,1.0,1.2,3.6,0.7,0.1,0.8,1.9,7.2,2
3666,Johnny Payak,1950,1953,G-F,6-4,174.0,"November 20, 1926",Bowling Green State University,/players/p/payakjo01.html,3,120.0,0.0,21.6,1.9,5.9,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5,0.715,0.0,0.0,1.7,1.9,0.0,0.0,0.0,2.6,6.3,3
3667,Adreian Payne,2015,2018,F-C,6-10,237.0,"February 19, 1991",Michigan State University,/players/p/paynead01.html,3,107.0,24.0,13.1,1.6,4.0,0.406,0.1,0.6,0.254,1.5,3.5,0.43,0.423,0.6,0.9,0.68,0.7,2.2,2.9,0.6,0.4,0.3,0.8,1.9,4.0,3
3668,Cameron Payne,2016,2018,G,6-3,185.0,"August 8, 1994",Murray State University,/players/p/payneca01.html,2,113.0,15.0,15.4,2.3,6.1,0.386,0.9,2.5,0.34,1.5,3.5,0.42,0.458,0.3,0.4,0.75,0.3,1.5,1.8,2.4,0.7,0.2,1.0,1.6,5.9,2
3669,Kenny Payne,1990,1993,F-G,6-8,195.0,"November 25, 1966",University of Louisville,/players/p/payneke01.html,3,144.0,13.0,8.1,1.5,3.7,0.41,0.1,0.4,0.293,1.4,3.3,0.424,0.426,0.4,0.4,0.859,0.3,0.9,1.2,0.4,0.3,0.2,0.5,0.9,3.5,1
3670,Tom Payne,1972,1972,C,7-2,240.0,"November 19, 1950",University of Kentucky,/players/p/payneto01.html,0,29.0,0.0,7.8,1.6,3.6,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.63,0.0,0.0,2.4,0.5,0.0,0.0,0.0,1.4,4.1,1
3671,Elfrid Payton,2015,2018,G,6-4,185.0,"February 22, 1994",University of Louisiana at Lafayette,/players/p/paytoel01.html,3,300.0,253.0,29.5,4.6,10.1,0.457,0.4,1.2,0.298,4.2,8.8,0.479,0.475,1.6,2.6,0.619,1.1,3.1,4.2,6.4,1.3,0.3,2.4,2.3,11.2,2
3672,Gary Payton*,1991,2007,G,6-4,180.0,"July 23, 1968",Oregon State University,/players/p/paytoga01.html,16,1335.0,1233.0,35.3,6.5,14.0,0.466,0.8,2.7,0.317,5.7,11.3,0.501,0.496,2.4,3.4,0.729,1.0,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,5
3673,Gary Payton,2017,2018,G,6-3,190.0,"December 1, 1992",Oregon State University,/players/p/paytoga02.html,1,29.0,6.0,11.0,1.3,3.3,0.396,0.2,1.2,0.206,1.1,2.1,0.5,0.432,0.2,0.5,0.429,0.4,1.5,1.9,1.2,0.3,0.2,0.6,1.3,3.1,2
3674,Mel Payton,1952,1953,F-G,6-4,185.0,"July 16, 1926",Tulane University,/players/p/paytome01.html,1,111.0,0.0,17.1,2.0,5.6,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.7,0.746,0.0,0.0,3.6,1.1,0.0,0.0,0.0,1.7,5.4,2
3675,George Pearcy,1947,1947,G,6-1,165.0,"July 2, 1919",Indiana State University,/players/p/pearcge01.html,0,37.0,0.0,0.0,0.8,3.5,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.2,0.727,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.8,2.5,1
3676,Henry Pearcy,1947,1947,G,6-1,170.0,"July 21, 1922",Indiana State University,/players/p/pearche01.html,0,29.0,0.0,0.0,0.8,3.7,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.2,0.735,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.7,2.5,1
3677,Oleksiy Pecherov,2008,2010,C,7-0,232.0,"December 8, 1985",0,/players/p/pecheol01.html,2,111.0,5.0,9.4,1.4,3.7,0.386,0.4,1.4,0.29,1.0,2.3,0.444,0.441,0.7,0.8,0.793,0.8,1.6,2.4,0.2,0.2,0.2,0.5,1.1,3.9,2
3678,Wiley Peck,1980,1980,G,6-7,220.0,"September 15, 1957",Mississippi State University,/players/p/peckwi01.html,0,52.0,0.0,12.1,1.4,3.3,0.432,0.0,0.0,0.0,1.4,3.2,0.437,0.432,0.7,1.1,0.618,1.3,2.3,3.5,0.6,0.3,0.4,0.9,1.9,3.5,1
3679,Rich Peek,1968,1968,C,6-11,230.0,"October 28, 1943","University of Florida, Louisiana Tech University",/players/p/peekri01.html,0,51.0,0.0,14.9,2.0,4.1,0.483,0.0,0.0,0.0,2.0,4.1,0.483,0.483,0.7,1.3,0.538,0.0,0.0,3.9,0.4,0.0,0.0,1.0,1.8,4.6,1
3680,Anthony Peeler,1993,2005,G,6-4,208.0,"November 25, 1969",University of Missouri,/players/p/peelean01.html,12,827.0,296.0,24.7,3.7,8.8,0.427,1.1,3.0,0.384,2.6,5.8,0.449,0.492,1.1,1.3,0.799,0.7,1.9,2.6,2.4,0.9,0.2,1.2,2.0,9.7,5
3681,George Peeples,1968,1973,C-F,6-7,190.0,"October 30, 1943",University of Iowa,/players/p/peeplge01.html,5,309.0,0.0,22.4,3.0,6.8,0.441,0.0,0.0,0.0,3.0,6.8,0.443,0.441,2.1,3.2,0.639,2.6,5.0,7.3,1.0,0.0,0.0,1.6,2.6,8.1,3
3682,Nikola Pekovic,2011,2016,C,6-11,307.0,"January 3, 1986",0,/players/p/pekovni01.html,5,271.0,194.0,24.9,4.8,9.4,0.518,0.0,0.0,0.0,4.8,9.4,0.518,0.518,2.9,3.8,0.76,3.0,3.7,6.7,0.7,0.5,0.6,1.5,2.3,12.6,1
3683,Jake Pelkington,1949,1949,C-F,6-6,220.0,"January 3, 1916",Manhattan College,/players/p/pelkija01.html,0,54.0,0.0,0.0,3.6,8.7,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.9,0.79,0.0,0.0,0.0,2.4,0.0,0.0,0.0,4.0,11.1,2
3684,Sam Pellom,1980,1983,F-C,6-9,225.0,"October 2, 1951","University at Buffalo, State University of New York",/players/p/pellosa01.html,3,196.0,4.0,14.9,1.8,3.9,0.464,0.0,0.0,0.0,1.8,3.8,0.465,0.464,0.8,1.1,0.724,1.2,2.3,3.5,0.5,0.5,0.8,0.9,2.4,4.4,2
3685,Mike Penberthy,2001,2002,G,6-3,185.0,"November 29, 1974",Master's College,/players/p/penbemi01.html,1,56.0,0.0,15.4,1.7,4.0,0.415,1.0,2.5,0.396,0.7,1.5,0.447,0.538,0.6,0.6,0.886,0.2,1.0,1.2,1.3,0.4,0.0,0.6,1.0,4.9,1
3686,Jerry Pender,1974,1974,G,6-2,185.0,"February 12, 1950","California State University, Fresno",/players/p/pendeje01.html,0,11.0,0.0,6.2,0.7,2.7,0.267,0.1,0.3,0.333,0.6,2.5,0.259,0.283,0.9,1.2,0.769,0.3,0.2,0.5,0.4,0.5,0.0,0.8,1.0,2.5,1
3687,Desmond Penigar,2004,2004,F,6-7,245.0,"July 16, 1981",Utah State University,/players/p/penigde01.html,0,10.0,0.0,8.9,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.5,0.5,0.4,0.4,1.0,0.6,1.8,2.4,0.3,0.2,0.2,0.6,1.4,3.2,1
3688,Kirk Penney,2004,2005,G,6-5,220.0,"November 23, 1980",University of Wisconsin,/players/p/penneki01.html,1,6.0,0.0,5.0,0.3,1.5,0.222,0.2,0.7,0.25,0.2,0.8,0.2,0.278,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.0,0.8,0.2,0.8,2
3689,Mike Peplowski,1994,1996,C,6-10,270.0,"October 15, 1970",Michigan State University,/players/p/peplomi01.html,2,68.0,19.0,10.4,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.7,0.531,0.8,1.8,2.6,0.4,0.3,0.4,0.6,2.2,2.9,4
3690,Will Perdue,1989,2001,C,7-0,240.0,"August 29, 1965",Vanderbilt University,/players/p/perduwi01.html,12,792.0,223.0,15.6,1.9,3.7,0.515,0.0,0.0,0.067,1.9,3.7,0.518,0.516,0.9,1.5,0.577,1.8,3.2,4.9,0.8,0.3,0.7,1.0,2.0,4.7,3
3691,Kendrick Perkins,2004,2018,C,6-10,270.0,"November 10, 1984",0,/players/p/perkike01.html,14,782.0,565.0,21.9,2.2,4.1,0.53,0.0,0.0,0.0,2.2,4.1,0.532,0.53,1.0,1.7,0.594,1.7,4.1,5.8,1.0,0.3,1.2,1.6,2.7,5.4,4
3692,Sam Perkins,1985,2001,F-C,6-9,235.0,"June 14, 1961",University of North Carolina,/players/p/perkisa01.html,16,1286.0,757.0,28.5,4.3,9.3,0.459,0.7,1.8,0.362,3.6,7.5,0.482,0.494,2.7,3.3,0.811,1.8,4.2,6.0,1.5,0.9,0.7,1.2,2.5,11.9,4
3693,Warren Perkins,1950,1951,G-F,6-3,190.0,"February 2, 1922",Tulane University,/players/p/perkiwa01.html,1,126.0,0.0,0.0,2.1,6.7,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.1,0.618,0.0,0.0,4.8,2.0,0.0,0.0,0.0,3.9,6.1,1
3694,Kosta Perovic,2008,2008,C,7-2,240.0,"February 19, 1985",0,/players/p/perovko01.html,0,7.0,0.0,5.4,0.4,1.4,0.3,0.0,0.0,0.0,0.4,1.4,0.3,0.3,0.6,0.9,0.667,0.9,1.0,1.9,0.1,0.0,0.3,0.1,0.9,1.4,1
3695,London Perrantes,2018,2018,G,6-2,200.0,"October 3, 1994",University of Virginia,/players/p/perralo01.html,0,14.0,0.0,4.7,0.1,0.9,0.154,0.0,0.2,0.0,0.1,0.7,0.2,0.154,0.2,0.4,0.6,0.1,0.2,0.3,0.4,0.1,0.1,0.1,0.4,0.5,2
3696,Aulcie Perry,1975,1975,C,6-10,210.0,"July 3, 1950",Bethune-Cookman College,/players/p/perryau01.html,0,21.0,0.0,19.8,3.9,8.9,0.435,0.0,0.0,0.0,3.9,8.8,0.438,0.435,0.9,1.4,0.633,1.9,3.1,5.0,1.0,0.6,0.8,1.6,2.8,8.6,1
3697,Curtis Perry,1971,1978,F,6-7,220.0,"September 13, 1948",Missouri State University,/players/p/perrycu01.html,7,480.0,0.0,28.5,4.0,8.7,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.3,0.699,3.2,6.1,8.8,1.9,1.2,0.9,1.4,3.5,9.5,4
3698,Elliot Perry,1992,2002,G,6-0,150.0,"March 28, 1969",University of Memphis,/players/p/perryel01.html,10,549.0,133.0,17.3,2.5,5.4,0.459,0.3,0.7,0.359,2.2,4.7,0.474,0.483,1.1,1.4,0.783,0.3,1.0,1.4,3.1,1.0,0.0,1.4,1.3,6.3,7
3699,Ron Perry,1968,1970,G,6-3,190.0,"December 29, 1943",Virginia Polytechnic Institute and State University,/players/p/perryro01.html,2,187.0,0.0,26.9,4.5,11.8,0.382,0.7,2.2,0.343,3.8,9.7,0.391,0.414,2.1,3.0,0.702,0.9,1.6,2.8,2.2,0.0,0.0,2.3,2.6,11.9,6
3700,Tim Perry,1989,1996,F-C,6-9,200.0,"June 4, 1965",Temple University,/players/p/perryti01.html,7,481.0,225.0,19.6,2.7,5.6,0.485,0.2,0.6,0.318,2.5,5.0,0.504,0.501,1.2,1.8,0.648,1.5,2.5,4.0,0.9,0.5,0.9,1.0,1.7,6.8,3
3701,Chuck Person,1987,2000,F,6-8,220.0,"June 27, 1964",Auburn University,/players/p/persoch01.html,13,943.0,622.0,30.7,5.9,12.9,0.458,1.3,3.6,0.362,4.6,9.3,0.495,0.508,1.6,2.2,0.723,1.2,3.8,5.1,2.8,0.7,0.2,2.1,2.7,14.7,5
3702,Wesley Person,1995,2005,G,6-6,195.0,"March 28, 1971",Auburn University,/players/p/persowe01.html,10,733.0,454.0,28.3,4.3,9.3,0.457,1.6,3.8,0.418,2.7,5.6,0.484,0.541,1.1,1.4,0.778,0.6,2.7,3.3,1.7,0.8,0.3,0.9,1.3,11.2,7
3703,Alec Peters,2018,2018,F,6-9,232.0,"April 13, 1995",Valparaiso University,/players/p/peteral01.html,0,20.0,0.0,11.3,1.4,3.7,0.378,0.9,2.9,0.31,0.5,0.8,0.625,0.5,0.4,0.5,0.8,0.4,1.5,1.9,0.6,0.1,0.1,0.2,0.7,4.1,1
3704,Jim Petersen,1985,1992,F-C,6-10,235.0,"February 22, 1962",University of Minnesota,/players/p/peterji01.html,7,491.0,208.0,20.0,2.8,5.7,0.486,0.0,0.1,0.071,2.8,5.7,0.49,0.486,1.3,1.8,0.725,1.6,3.2,4.8,1.0,0.4,0.7,1.3,2.8,6.9,3
3705,Loy Petersen,1969,1970,G,6-5,205.0,"July 26, 1945",Oregon State University,/players/p/peterlo01.html,1,69.0,0.0,7.7,1.1,2.9,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.682,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.9,2.9,1
3706,Bob Peterson,1954,1956,F,6-5,210.0,"January 25, 1932",University of Oregon,/players/p/peterbo01.html,2,103.0,0.0,13.0,1.8,4.7,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.669,0.0,0.0,3.8,0.8,0.0,0.0,0.0,2.1,4.7,2
3707,Ed Peterson,1950,1951,C,6-9,220.0,"June 27, 1924",Cornell University,/players/p/petered01.html,1,115.0,0.0,0.0,2.6,6.7,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.9,0.627,0.0,0.0,5.4,0.9,0.0,0.0,0.0,3.4,7.0,2
3708,Mel Peterson,1964,1970,G-F,6-4,185.0,"March 23, 1938",Wheaton College,/players/p/peterme01.html,6,134.0,0.0,17.6,3.5,7.9,0.442,0.1,0.3,0.225,3.4,7.6,0.45,0.446,0.7,0.8,0.82,1.2,2.1,4.7,1.2,0.0,0.0,1.2,1.7,7.7,3
3709,Morris Peterson,2001,2011,F,6-7,218.0,"August 26, 1977",Michigan State University,/players/p/petermo01.html,10,711.0,488.0,27.2,3.9,9.2,0.418,1.4,3.8,0.373,2.4,5.4,0.45,0.495,1.6,2.0,0.773,0.8,2.7,3.5,1.5,0.9,0.2,1.0,2.3,10.7,3
3710,Geoff Petrie,1971,1976,G,6-4,190.0,"April 17, 1948",Princeton University,/players/p/petrige01.html,5,446.0,0.0,37.6,8.9,19.5,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.805,0.6,2.0,2.8,4.6,1.1,0.1,0.0,2.4,21.8,1
3711,Johan Petro,2006,2013,C,7-0,247.0,"January 27, 1986",0,/players/p/petrojo01.html,7,473.0,139.0,15.4,2.1,4.5,0.462,0.0,0.0,0.154,2.1,4.4,0.464,0.462,0.5,0.8,0.678,1.1,2.7,3.9,0.5,0.4,0.5,0.8,2.4,4.7,5
3712,Drazen Petrovic*,1990,1993,G,6-5,195.0,"October 22, 1964",0,/players/p/petrodr01.html,3,290.0,149.0,26.4,5.9,11.6,0.506,0.9,2.0,0.437,5.0,9.6,0.52,0.544,2.7,3.3,0.841,0.8,1.5,2.3,2.4,0.9,0.1,2.1,2.6,15.4,2
3713,Richard Petruska,1994,1994,C-F,6-10,260.0,"January 25, 1969","Loyola Marymount University, University of California, Los Angeles",/players/p/petruri01.html,0,22.0,0.0,4.2,0.9,2.1,0.435,0.3,0.7,0.467,0.6,1.4,0.419,0.511,0.3,0.4,0.75,0.4,1.0,1.4,0.0,0.1,0.1,0.7,0.7,2.4,1
3714,Bob Pettit*,1955,1965,F-C,6-9,205.0,"December 12, 1932",Louisiana State University,/players/p/pettibo01.html,10,792.0,0.0,38.8,9.3,21.3,0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,10.3,0.761,0.0,0.0,16.2,3.0,0.0,0.0,0.0,3.2,26.4,2
3715,Jerry Pettway,1968,1969,G-F,6-3,185.0,"February 13, 1944",Northwood Institute,/players/p/pettwje01.html,1,87.0,0.0,21.1,3.7,11.0,0.339,0.2,0.7,0.258,3.6,10.3,0.345,0.348,1.4,2.2,0.653,1.2,1.5,3.5,1.4,0.0,0.0,1.1,1.7,9.1,1
3716,Roger Phegley,1979,1984,G-F,6-6,205.0,"October 16, 1956",Bradley University,/players/p/pheglro01.html,5,345.0,13.0,16.8,3.5,7.5,0.47,0.1,0.3,0.253,3.5,7.2,0.478,0.475,1.6,1.9,0.834,0.8,1.2,2.0,1.4,0.5,0.1,1.2,2.0,8.7,5
3717,Jack Phelan,1950,1950,F,6-5,195.0,"November 6, 1925",DePaul University,/players/p/phelaja01.html,0,55.0,0.0,0.0,1.6,4.9,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.6,0.578,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7,4.1,2
